Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
406,Donostialdea,Donostialdea,Lasarte-Oria,Urnieta,Coche conductor,07:00,22,Lasarte-Oria,2,2,2,Otros hogares sin niños,1,4,1,1,2021,24409.86,2,-2.020438828405881,43.26871171996706,-2.033693,43.256347
407,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,08:00,23,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.8451927739456744,43.31857832743373,-2.033693,43.256347
408,Bidasoa,Donostialdea,Irun,Oiartzun,Coche conductor,13:00,22,Oiartzun,2,3,1,2 adultos con niño(s),1,5,1,1,2021,25461.26,3,-1.7947265150609673,43.341202716624295,-2.033693,43.256347
409,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,13:30,23,Errenteria,1,1,1,Hogar de una persona,1,5,1,2,2021,23126.5,2,-1.9729946729616417,43.29316855580296,-2.033693,43.256347
410,Donostialdea,Donostialdea,Urnieta,Donostia/San Sebastian,Coche conductor,14:00,22,Donostia/San Sebastian,2,2,1,2 adultos con niño(s),1,5,1,1,2021,24223.07,2,-1.9919013550508569,43.24712017247104,-2.033693,43.256347
411,Donostialdea,Donostialdea,Andoain,Usurbil,Coche conductor,05:45,23,Andoain,2,3,1,Otros hogares sin niños,2,4,1,1,2021,25820.86,3,-2.0313377986135746,43.20867962979435,-2.033693,43.256347
412,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,08:00,23,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.873980449328188,43.30501006768045,-2.033693,43.256347
413,Urola Kosta       ,Donostialdea,Orio,Usurbil,Coche conductor,21:00,22,Usurbil,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25571.56,3,-2.124198140322979,43.27969451655343,-2.033693,43.256347
414,Urola Kosta       ,Donostialdea,Azpeitia,Donostia/San Sebastian,Coche conductor,14:30,23,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,5,1,1,2021,26805.41,4,-2.259461050520177,43.18398999469392,-2.033693,43.256347
415,Goierri                              ,Donostialdea,Urretxu,Lezo,Coche conductor,07:30,22,Urretxu,2,4,1,Otros hogares con niños,1,4,1,1,2021,26469.31,3,-2.3150344997907246,43.092342521269785,-2.033693,43.256347
416,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,14:00,22,Lasarte-Oria,2,3,1,Otros hogares con niños,1,3,1,1,2021,23805.385,2,-2.017345121849095,43.25864980716253,-2.033693,43.256347
417,Donostialdea,Donostialdea,Hernani,Pasaia,Moto,14:15,22,Pasaia,2,3,2,Otros hogares con niños,1,6,1,1,2021,24416.41,2,-1.9791822097209075,43.26231731683559,-2.033693,43.256347
418,Tolosaldea,Donostialdea,Tolosa,Hernani,Coche conductor,18:30,22,Hernani,2,4,1,Otros hogares sin niños,2,3,1,1,2021,24137.635,2,-2.077821029327771,43.1424490665048,-2.033693,43.256347
419,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,16:00,22,Donostia/San Sebastian,2,3,3,2 adultos con niño(s),1,5,1,1,2021,24223.07,2,-2.0130664001235843,43.270050800726686,-2.033693,43.256347
420,Tolosaldea,Donostialdea,Villabona,Andoain,Coche conductor,16:30,23,Villabona,1,2,1,Hogar de una persona,2,5,1,1,2021,24512.91,3,-2.0577012943432966,43.1819762145044,-2.033693,43.256347
