,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
39,97,2,3,2,4,1,-2.039588349558443,43.2693842203815,-2.033693,43.256347,6.568433333333333,21235.19,4247.038,0,0,35.0635,26.347,2,73,69,2,Car,4.070078083333332,4.070078083333332
40,97,2,3,2,4,1,-2.05293934916184,43.28544769964985,-2.033693,43.256347,13.93035,33712.38,6742.476,0,0,90.44751666666666,46.705,2,73,69,2,Car,6.461539499999998,6.461539499999998
41,97,2,3,2,4,1,-2.0531563837301725,43.27312324498186,-2.033693,43.256347,8.723133333333333,27360.32,5472.064,0,0,64.16638333333334,24.724,2,73,69,2,Car,5.244061333333332,5.244061333333332
42,97,2,2,1,5,1,-1.9324913382764963,43.32764647220097,-2.033693,43.256347,13.56235,23549.665,13300.358,1,0,233.44123333333334,52.856,4,64,69,2,Car,4.513685791666666,12.746176416666664
43,97,2,2,1,5,1,-1.929772416318181,43.32450323169783,-2.033693,43.256347,13.9831,23647.269999999997,13319.879,1,0,229.63085,47.769,4,64,69,2,Car,4.5323934166666655,12.764884041666665
44,97,2,2,1,3,1,-1.916542595733576,43.32706737348905,-2.033693,43.256347,19.899933333333333,17557.385,17337.8,1,0,288.55081666666666,77.717,2,64,69,2,Car,3.3651654583333324,16.615391666666664
45,103,2,2,2,5,2,-1.9193152615030151,43.32543850750479,-2.033693,43.256347,20.148383333333335,17553.13,17336.949,1,0,291.6646,79.728,2,64,69,2,Car,3.364349916666666,16.614576124999996
46,103,2,2,2,5,2,-1.9215470014503,43.32846272414535,-2.033693,43.256347,21.99045,20009.29,17828.181,1,0,297.8972333333333,84.682,2,64,69,2,Car,3.8351139166666663,17.085340125
47,97,2,2,1,3,1,-1.9283300002391293,43.32417730472337,-2.033693,43.256347,14.334516666666667,24350.095,13460.444,1,0,231.03375,49.761,2,64,69,2,Car,4.667101541666666,12.899592166666663
48,108,2,3,2,3,1,-1.9323596142467871,43.32576114618454,-2.033693,43.256347,13.2672,22959.344999999998,13182.294,1,0,229.81246666666667,49.102,6,64,69,2,Car,4.400541124999998,12.633031749999999
49,103,2,2,2,5,2,-1.919651683236455,43.32638919143091,-2.033693,43.256347,20.834083333333336,18467.445,17519.812,1,0,293.6623,81.522,2,64,69,2,Car,3.5395936249999993,16.789819833333333
50,108,2,3,2,3,1,-1.931347172368095,43.32607081010022,-2.033693,43.256347,13.56235,23549.665,13300.358,1,0,230.1091,50.374,6,64,69,2,Car,4.513685791666666,12.746176416666664
51,97,2,2,1,3,1,-1.93832747301987,43.32634927675199,-2.033693,43.256347,12.95095,22326.774999999998,13055.78,1,0,227.36746666666667,47.724,2,64,69,2,Car,4.279298541666665,12.511789166666665
52,108,2,3,2,3,1,-1.92904244617358,43.32401105660868,-2.033693,43.256347,13.77315,23227.335,13235.892,1,0,229.20141666666666,48.397,6,64,69,2,Car,4.451905874999999,12.684396499999997
53,97,1,2,2,4,1,-1.9214352390042488,43.328345991111874,-2.033693,43.256347,21.659550000000003,19568.09,17739.941,1,0,297.8972333333333,84.682,1,64,69,2,Car,3.750550583333333,17.000776791666663
54,97,2,2,1,5,1,-1.927818649024741,43.32699739846439,-2.033693,43.256347,14.823183333333333,25327.510000000002,13655.927,1,0,236.52301666666665,53.236,4,64,69,2,Car,4.854439416666666,13.086930041666665
55,103,2,2,2,5,2,-1.91727926484846,43.31640701077948,-2.033693,43.256347,13.679183333333333,7364.6050000000005,13949.633,1,0,233.05116666666666,47.381,2,64,69,2,Car,1.4115492916666665,13.368398291666665
56,97,1,2,2,4,1,-1.916971314922456,43.31827069150776,-2.033693,43.256347,14.362150000000002,7460.929999999999,13903.681,1,0,235.33103333333332,45.04,1,64,69,2,Car,1.430011583333333,13.324360958333331
57,103,2,2,2,5,2,-1.928515514356125,43.32400292455844,-2.033693,43.256347,14.334516666666667,24350.095,13460.444,1,0,229.58666666666667,48.684,2,64,69,2,Car,4.667101541666666,12.899592166666663
58,108,2,3,2,3,1,-1.9117529799786976,43.32398674823464,-2.033693,43.256347,18.267816666666665,14293.099999999999,16684.943,1,0,280.00943333333333,70.591,6,64,69,2,Car,2.7395108333333327,15.989737041666663
59,108,2,3,2,3,1,-1.916730227719583,43.31787276178701,-2.033693,43.256347,14.362150000000002,7460.929999999999,13903.681,1,0,235.33103333333332,45.04,6,64,69,2,Car,1.430011583333333,13.324360958333331
60,97,2,2,1,3,1,-1.9315895541427224,43.32506016798542,-2.033693,43.256347,13.6205,22922.055,13174.836,1,0,227.21065,49.05,2,64,69,2,Car,4.393393874999999,12.625884499999996
61,103,1,2,2,6,1,-1.7857171365534978,43.33737647054932,-2.033693,43.256347,20.767033333333334,58028.39,24986.201,1,0,425.93218333333334,70.265,1,45,69,2,Car,11.12210808333333,23.945109291666665
62,97,2,3,1,5,1,-1.7901907542079647,43.33934687415989,-2.033693,43.256347,21.259816666666666,56264.09,25041.856,1,0,421.58503333333334,67.045,4,45,69,2,Car,10.783950583333331,23.99844533333333
63,97,2,3,1,5,1,-1.815876270011278,43.33865835021949,-2.033693,43.256347,19.68406666666667,46865.985,23200.136,1,0,391.38961666666665,71.054,4,45,69,2,Car,8.982647124999998,22.23346366666666
64,97,1,2,2,5,2,-1.7779884081968451,43.3396957060265,-2.033693,43.256347,22.232133333333334,60996.615000000005,25759.889,1,0,436.78863333333334,71.102,3,45,69,2,Car,11.691017874999998,24.686560291666662
65,97,1,3,2,4,1,-1.8148326546338365,43.32959367191015,-2.033693,43.256347,19.151516666666666,45322.75,22674.838,1,0,383.4273,61.354,3,45,69,2,Car,8.686860416666665,21.730053083333328
66,101,1,2,1,5,1,-1.793055704399751,43.33821744910096,-2.033693,43.256347,20.22625,54196.86,24628.41,1,0,415.33525000000003,67.779,3,45,69,2,Car,10.387731499999997,23.602226249999998
67,97,2,3,1,5,1,-1.7896498183525062,43.34107185315048,-2.033693,43.256347,21.6643,57073.075,25203.653,1,0,424.92345,69.081,4,45,69,2,Car,10.939006041666664,24.153500791666662
68,97,1,3,2,4,1,-1.7701141549135324,43.340680018853234,-2.033693,43.256347,21.3936,65647.505,26690.067,1,0,449.09364999999997,73.394,3,45,69,2,Car,12.58243845833333,25.577980874999994
69,103,1,2,2,6,1,-1.8160525881824023,43.32745968377726,-2.033693,43.256347,19.324633333333335,45575.85,22701.316,1,0,380.12615,63.272,1,45,69,2,Car,8.735371249999998,21.75542783333333
70,97,1,2,2,5,2,-1.778090322796794,43.33995832426971,-2.033693,43.256347,22.232133333333334,60996.615000000005,25759.889,1,0,436.78863333333334,71.102,3,45,69,2,Car,11.691017874999998,24.686560291666662
71,101,1,2,1,5,1,-1.8007621812303027,43.33180783205442,-2.033693,43.256347,17.87206666666667,50754.66500000001,23730.295,1,0,403.6671333333333,67.855,3,45,69,2,Car,9.727977458333333,22.741532708333327
72,103,2,2,1,5,1,-2.1749429339403954,43.27788171517416,-2.033693,43.256347,16.477783333333335,90123.995,18024.799,0,0,256.08958333333334,48.402,4,79,69,2,Car,17.27376570833333,17.27376570833333
73,103,2,2,1,5,1,-2.175948211314954,43.285131868542855,-2.033693,43.256347,15.024049999999999,90679.985,18135.997,0,0,254.61520000000002,43.678,4,79,69,2,Car,17.38033045833333,17.38033045833333
74,103,2,2,1,5,1,-2.170477581113291,43.2867702147479,-2.033693,43.256347,13.25835,86588.235,17317.647,0,0,246.71295,40.393,4,79,69,2,Car,16.596078374999998,16.596078374999998
75,103,2,2,1,5,1,-2.173947078760274,43.284757210266015,-2.033693,43.256347,13.909933333333333,87797.845,17559.569,0,0,252.17886666666666,44.046,4,79,69,2,Car,16.82792029166666,16.82792029166666
76,103,1,2,2,4,1,-1.9737855789610048,43.26218633381532,-2.033693,43.256347,10.341566666666667,29899.265,5979.853,0,0,108.50165,35.699,3,40,69,2,Car,5.730692458333332,5.730692458333332
77,105,2,2,2,5,1,-1.970704573729052,43.27128234111945,-2.033693,43.256347,11.699783333333333,32078.539999999997,6415.708,0,0,117.01665,33.089,4,40,69,2,Car,6.1483868333333325,6.1483868333333325
78,97,2,4,1,6,1,-1.9756421977753744,43.2763455663497,-2.033693,43.256347,11.111566666666667,31088.800000000003,6217.76,0,0,113.02775,37.428,2,40,69,2,Car,5.958686666666666,5.958686666666666
79,101,1,2,2,4,1,-1.9807644637896744,43.26824984015544,-2.033693,43.256347,11.307533333333334,29443.2,5888.64,0,0,106.76208333333334,33.458,1,40,69,2,Car,5.643279999999999,5.643279999999999
80,101,1,2,2,4,1,-1.973122934550641,43.26865944961781,-2.033693,43.256347,10.569383333333333,29890.315000000002,5978.063,0,0,110.09848333333333,31.787,1,40,69,2,Car,5.728977041666666,5.728977041666666
81,97,2,4,1,6,1,-1.9748008592467825,43.26690897233121,-2.033693,43.256347,12.5592,32401.29,6480.258,0,0,106.81358333333333,32.556,2,40,69,2,Car,6.210247249999998,6.210247249999998
82,101,1,2,2,4,1,-1.9747137959605607,43.26643299186911,-2.033693,43.256347,12.414716666666667,32208.64,6441.728,0,0,106.22451666666666,33.034,1,40,69,2,Car,6.173322666666665,6.173322666666665
83,105,2,2,2,5,1,-1.9387460659466973,43.24190289146681,-2.033693,43.256347,18.328133333333334,52353.505,10470.701,0,0,176.58471666666668,84.536,4,40,69,2,Car,10.034421791666665,10.034421791666665
